index,soru_id,soru_metni,şıklar,doğru_şık,çözüm,alt_konular,meb_kazanım,taxonomy,soru_türü,konu,cozum_suresi,difficulty,sinif,sik_yapilan_hatalar,matematik_formulu
15,15,x^3 + 2x^2 - x - 2 polinomu aşağıdakilerden hangisine tam bölünür?,"['A) x-1', 'B) x+1', 'C) x-2', 'D) x+2']",B) x+1,P(-1)=(-1)^3 + 2(-1)^2 - (-1) - 2 = -1 + 2 + 1 - 2 = 0 olduğundan doğru cevap B) x+1'dir.,"['Polinomlar', 'Çarpanlara Ayırma', 'Grup Faktoringi']",10.3.2.1. Polinomları çarpanlara ayırma yöntemlerini kullanır.,Problem Çözme,Problem Çözme Sorusu,Polinomlar,2 dakika,Orta,10. sınıf,['Grup faktoringi uygulanırken hata'],P(-1) = 0 ⇒ x + 1 is a factor
16,16,x^2 - 4x + 4 ifadesinin çarpanlara ayrılmış hali aşağıdakilerden hangisidir?,"['A) (x-2)^2', 'B) (x+2)^2', 'C) (x-4)(x+1)', 'D) (x-1)(x-4)']",A) (x-2)^2,Tam kare ifade: x^2 - 4x + 4 = (x-2)^2. Doğru cevap A).,"['Polinomlar', 'Tam Kare Polinomlar']",10.3.2.1. Polinomları çarpanlara ayırma yöntemlerini kullanır.,Problem Çözme,Problem Çözme Sorusu,Polinomlar,1 dakika,Kolay,10. sınıf,['Tam kare polinomların yanlış çarpanlara ayrılması'],(x-2)^2 = x^2 - 4x + 4
17,17,2^(6/2) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 2^3', 'B) 2^2', 'C) 2^4', 'D) 2^6']",A) 2^3,2^(6/2) = 2^3 = 8. Doğru cevap A) 2^3'tür.,"['Üslü İfadeler', 'Kesirli Üsler']",9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Üslü İfadeler,1 dakika,Kolay,9. sınıf,['Kesirli üslerin yanlış hesaplanması'],2^(6/2) = 2^3
18,18,8^(1/3) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 2', 'B) 4', 'C) 8', 'D) 16']",A) 2,8^(1/3) = 2. Doğru cevap A) 2'dir.,"['Köklü İfadeler', 'Küp Kök']",9.3.4.2. Köklü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Köklü İfadeler,1 dakika,Kolay,9. sınıf,['Küp kök hesaplama hatası'],8^(1/3) = 2
19,19,16^(3/4) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 4', 'B) 8', 'C) 16', 'D) 64']",B) 8,16^(3/4) = (16^(1/4))^3 = (2^2)^3 = 8. Doğru cevap B) 8'dir.,"['Üslü İfadeler', 'Kesirli Üsler']",9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Üslü İfadeler,1 dakika,Kolay,9. sınıf,['Üs dönüşümü hatası'],(2^4)^(3/4) = 2^3 = 8
20,20,5^(1/2) × 2^(1/4) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 10', 'B) 20', 'C) 40', 'D) 80']",B) 20,5^(1/2) = √5 ve 2^(1/4) = 4√2 olduğundan çarpımları 20 olur. Doğru cevap B) 20'dir.,"['Üslü İfadeler', 'Köklü İfadeler', 'Çarpma İşlemi']",9.3.4.1. Üslü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Üslü ve Köklü İfadeler,2 dakika,Zor,9. sınıf,"['Üslü ifadelerin dönüşümünde hata', 'Yaklaşık değer hesaplamasında hata']",a^(1/n) = n√a; (Verilen açıklamaya göre doğru cevap: 20)
21,21,9^(1/2) × 27^(1/3) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 6', 'B) 9', 'C) 12', 'D) 18']",B) 9,9^(1/2) = √9 = 3 ve 27^(1/3) = ∛27 = 3 olduğundan çarpımları 9 olur. Doğru cevap B) 9'dur.,"['Köklü İfadeler', 'Karekök', 'Küp Kök']",9.3.4.2. Köklü ifadeleri içeren denklemleri çözer.,Problem Çözme,Problem Çözme Sorusu,Köklü İfadeler,1 dakika,Kolay,9. sınıf,['Karekök ve küpkök hesaplama hatası'],√9 × ∛27 = 3 × 3 = 9
22,22,"Bir üretici, ürettiği ürünlerin satışından elde ettiği geliri G(x)=5x^3 - 2x^2 + 3x - 7 polinomu ile ifade etmektedir. Burada x, satılan ürün miktarını temsil etmektedir. Üretici, 100 birim ürün sattığında elde edeceği geliri hesaplayınız.","['A) 4,980,293', 'B) 5,120,000', 'C) 4,850,000', 'D) 5,010,293']","A) 4,980,293","G(100) = 5(100)^3 - 2(100)^2 + 3(100) - 7 = 4,980,293. Doğru cevap A) 4,980,293'tür.","['Polinomlar', 'Fonksiyon Değerlendirme', 'Üçüncü Dereceden Polinomlar']",11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,Uygulama,Uygulama Sorusu,Üçüncü Dereceden Fonksiyonlar,3 dakika,Orta,11. sınıf,"['Değişken yerine koyma hatası', 'Hatalı hesaplama']",G(x)= 5x^3 - 2x^2 + 3x - 7
23,23,"Bir otomobilin belirli bir süre boyunca kat ettiği mesafe, M(t)=2t^3 - 5t^2 + 4t polinomu ile ifade edilmektedir. Burada t, saati temsil etmektedir. Otomobilin 3 saat sonunda kat ettiği mesafeyi bulunuz.","['A) 18', 'B) 25', 'C) 21', 'D) 27']",C) 21,M(3) = 2(3)^3 - 5(3)^2 + 4(3) = 21. Doğru cevap C) 21'dir.,"['Polinomlar', 'Fonksiyon Değerlendirme', 'Üçüncü Dereceden Polinomlar']",11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,Uygulama,Uygulama Sorusu,Üçüncü Dereceden Fonksiyonlar,2 dakika,Kolay,11. sınıf,['t değerinin yanlış kullanılması'],M(t)= 2t^3 - 5t^2 + 4t
24,24,"Bir şirketin yıllık karı, K(y)=y^3 - 4y^2 + 6y - 8 polinomu ile modellenmektedir. Burada y, şirketin faaliyet gösterdiği yıl sayısını temsil etmektedir. Şirketin 5. yılındaki karını hesaplayınız.","['A) 53', 'B) 47', 'C) 61', 'D) 45']",B) 47,K(5) = 5^3 - 4(5)^2 + 6(5) - 8 = 47. Doğru cevap B) 47'dir.,"['Polinomlar', 'Fonksiyon Değerlendirme', 'Üçüncü Dereceden Polinomlar']",11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,Uygulama,Uygulama Sorusu,Üçüncü Dereceden Fonksiyonlar,2 dakika,Kolay,11. sınıf,['Yanlış hesaplama'],K(y)= y^3 - 4y^2 + 6y - 8
25,25,"Bir su deposundaki su miktarı, S(t)=-t^3 + 6t^2 - 9t + 4 polinomu ile ifade edilmektedir. Burada t, saati temsil etmektedir. Depodaki su miktarının maksimum olduğu zamanı bulunuz.","['A) 3. saat', 'B) 4. saat', 'C) 2. saat', 'D) 1. saat']",A) 3. saat,S(t)=-t^3 + 6t^2 - 9t + 4 fonksiyonunun maksimum noktası türev ile bulunur. dS/dt = -3t^2 + 12t - 9 = 0 denkleminin çözümü t=3'tür. Doğru cevap A) 3. saattir.,"['Türev', 'Optimizasyon', 'Kritik Noktalar']",12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,Analiz ve Sentez Sorusu,Problem Çözme Sorusu,Türev,3 dakika,Orta,12. sınıf,"['Türev alma hatası', 'Kritik nokta testinin unutulması']","S'(t) = -3t^2 + 12t - 9; S'(t)=0 ⇒ t = 1 veya 3, maksimum t = 3"
26,26,"C(x)= 4x^3 - 9x^2 + 6x + 15 polinomuna göre, x = 50 için fabrikanın üretim maliyetini hesaplayınız.","['A) 24,600,000', 'B) 24,615,015', 'C) 23,900,200', 'D) 25,100,300']","B) 24,615,015","C(50) = 4(50)^3 - 9(50)^2 + 6(50) + 15 = 24,615,015. Doğru cevap B) 24,615,015'tir.","['Polinomlar', 'Fonksiyon Değerlendirme', 'Üçüncü Dereceden Polinomlar']",11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,Uygulama,Uygulama Sorusu,Üçüncü Dereceden Fonksiyonlar,3 dakika,Orta,11. sınıf,['Hesaplama hatası'],C(x)= 4x^3 - 9x^2 + 6x + 15
27,27,Bir fonksiyon aşağıdaki gibi tanımlanmıştır: f(x)=x^(x^2). Bu fonksiyonun türevini f'(x) bulunuz.,"['A) x^(x^2)⋅(1+2xlnx)', 'B) x^(x^2)⋅(x+2xlnx)', 'C) x^(x^2+1)⋅(1+2x)', 'D) x^(x^2-1)⋅(1+2xlnx)']",B) x^(x^2)⋅(x+2xlnx),Doğal logaritma alarak başlıyoruz: ln y = x^2 ln x. Türev alındığında f'(x) = x^(x^2)⋅(x+2xlnx) elde edilir. Doğru cevap B).,"['Üstel Fonksiyonlar', 'Logaritmik Türev']",12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,Analiz ve Sentez Sorusu,Problem Çözme Sorusu,Üstel Fonksiyonlar,3 dakika,Zor,12. sınıf,"['Logaritmik türev uygulamasında hata', 'Çarpım kuralını unutma']","f(x)= x^(x^2), ln f(x)= x^2 ln x"
28,28,Bir fonksiyon aşağıdaki gibi tanımlanmıştır: f(x)=e^(x^e^x). Bu fonksiyonun türevini f'(x) bulunuz.,"['A) e^(x^e^x)⋅e^x⋅x^e^x⋅(lnx+1/x)', 'B) e^(x^e^x+1)⋅x^e^x⋅(lnx+x)', 'C) e^(x^e^x-x)⋅x^e^x⋅(lnx+1/x)', 'D) e^(x^e^x)⋅x^e^x⋅(lnx-1/x)']",A) e^(x^e^x)⋅e^x⋅x^e^x⋅(lnx+1/x),Fonksiyon bileşke fonksiyonlardan oluştuğu için zincir kuralı uygulanır. Sonuç: f'(x) = e^(x^e^x)⋅e^x⋅x^e^x⋅(lnx+1/x). Doğru cevap A).,"['Üstel Fonksiyonlar', 'Zincir Kuralı', 'Logaritmik Türev']",12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,Analiz ve Sentez Sorusu,Problem Çözme Sorusu,Üstel Fonksiyonlar,4 dakika,Zor,12. sınıf,['Zincir kuralı ve logaritmik türev hatası'],f'(x)= e^(x^e^x) · e^x · x^e^x · (ln x + 1/x)
29,29,Bir fonksiyon aşağıdaki gibi tanımlanmıştır: f(x)=x^(sinx). Bu fonksiyonun türevini f'(x) bulunuz.,"['A) x^(sinx)⋅(cosxlnx+sinx⋅1/x)', 'B) x^(sinx)⋅(cosx+sinxlnx)', 'C) x^(sinx)⋅(cosx−sinxlnx)', 'D) x^(sinx+1)⋅(cosx+sinx)']",A) x^(sinx)⋅(cosxlnx+sinx⋅1/x),Doğal logaritma alarak başlıyoruz: ln y = sinx ln x. Türev alındığında f'(x) = x^(sinx)⋅(cosx ln x + sinx⋅(1/x)) elde edilir. Doğru cevap A).,"['Çarpım Kuralı', 'Logaritmik Türev', 'Trigonometri']",12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,Analiz ve Sentez Sorusu,Problem Çözme Sorusu,Türev,2 dakika,Orta,12. sınıf,['Logaritmik türev uygulaması hatası'],d/dx(x sin x) = x sin x ⋅ (cos x ln x + sin x ⋅ (1/x))
30,30,log₄(15 + log₅(3x - 1)) = 2 eşitliğini sağlayan x değeri nedir?,"['A) 1', 'B) 2', 'C) 3', 'D) 4']",B) 2,Logaritma fonksiyonunun tanımı kullanılarak 4^2 = 15 + log₅(3x - 1) çözülür ve x = 2 bulunur. Doğru cevap B).,"['Logaritma Denklemleri', 'Logaritma Özellikleri']",12.1.2.3. Logaritma fonksiyonunun özelliklerini kullanarak işlemler yapar.,Problem Çözme,Problem Çözme Sorusu,Logaritma Fonksiyonları,2 dakika,Kolay,12. sınıf,['Logaritma dönüşüm hatası'],15 + log₅(3x - 1) = 4^2 = 16 ⇒ log₅(3x - 1) = 1 ⇒ 3x - 1 = 5
31,31,log₃(2x - 5) ≤ 1 eşitsizliğinin çözüm kümesini bulunuz.,"['A) (2,5]', 'B) (3,4]', 'C) (5/2,4]', 'D) (2,3]']","C) (5/2,4]","Eşitsizlik logaritmanın tanım koşulları kullanılarak çözülür ve (5/2,4] aralığı bulunur. Doğru cevap C).","['Logaritmik Eşitsizlikler', 'Logaritma Denklemleri']",12.1.2.3. Logaritma fonksiyonunun özelliklerini kullanarak işlemler yapar.,Problem Çözme,Problem Çözme Sorusu,Logaritma Fonksiyonları,2 dakika,Kolay,12. sınıf,"['Tanım koşulunun unutulması', 'Yanlış üstel dönüşüm']","2x - 5 > 0 ve 2x - 5 ≤ 3 ⇒ x ∈ (5/2,4]"
32,32,log₂(x² - 4) = 3 denklemini sağlayan x değerlerini bulunuz.,"['A) ±3', 'B) ±2√3', 'C) ±4', 'D) ±5']",B) ±2√3,Logaritma denklemi çözülerek x² - 4 = 2³ = 8 ve x² = 12 bulunur. Sonuç: x = ±2√3. Doğru cevap B).,"['Logaritma Denklemleri', 'Polinom Çözümü']",12.1.2.3. Logaritma fonksiyonunun özelliklerini kullanarak işlemler yapar.,Problem Çözme,Problem Çözme Sorusu,Logaritma Fonksiyonları,2 dakika,Kolay,12. sınıf,['Logaritma tanım koşulunun unutulması'],x² - 4 = 2³ = 8 ⇒ x² = 12 ⇒ x = ±2√3
33,33,Türev kullanarak f(x) = log₃(x² - 4x + 7) fonksiyonunun minimum noktasını bulun.,"['A) x=2', 'B) x=1', 'C) x=3', 'D) x=4']",A) x=2,Fonksiyonun türevi alınarak kritik noktalar bulunur ve ikinci türev testi uygulanarak minimum nokta x=2 olarak belirlenir. Doğru cevap A).,"['Türev', 'Optimizasyon', 'Logaritma Fonksiyonları']",12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,Analiz ve Sentez Sorusu,Problem Çözme Sorusu,Türev ve Logaritma Fonksiyonları,3 dakika,Kolay,12. sınıf,"['Türev alma hatası', 'Minimum nokta hesaplamasında hata']",İç kısım: x² - 4x + 7; tepe noktası x = -b/(2a) = 2
34,34,"sin(α+β) ifadesini, sin ve cos fonksiyonlarını kullanarak yazınız.","['A) sinα cosβ + cosα sinβ', 'B) sinα sinβ + cosα cosβ', 'C) sinα cosβ - cosα sinβ', 'D) cosα cosβ - sinα sinβ']",A) sinα cosβ + cosα sinβ,Sinüs toplam formülü: sin(α+β) = sinα cosβ + cosα sinβ.,"['Trigonometri', 'İki Açı Toplamı', 'Sinus Toplam Formülü']",12.3.1.1. İki açının ölçüleri toplamının ve farkının trigonometrik değerlerine ait formülleri oluşturarak işlemler yapar.,Bilgi Soruları,Bilgi Soruları,Trigonometri,1 dakika,Kolay,12. sınıf,"['Formülün yanlış hatırlanması', 'İşaret hatası']",sin(α+β) = sinα cosβ + cosα sinβ
35,35,"Nokta A(2,3) ve B(8,7) arasındaki uzaklığı hesaplayınız.","['A) √40', 'B) 2√10', 'C) √52', 'D) 2√13']",D) 2√13,"İki nokta arasındaki uzaklık formülü: d = √[(x₂ - x₁)² + (y₂ - y₁)²]. A(2,3) ve B(8,7) için: d = √[(8-2)² + (7-3)²] = √[6² + 4²] = √(36+16) = √52 = 2√13.","['Analitik Geometri', 'Nokta Arası Uzaklık']",11.2.1.1. Analitik düzlemde iki nokta arasındaki uzaklığı veren bağıntıyı elde ederek problemler çözer.,Problem Çözme,Problem Çözme Sorusu,Analitik Geometri,2 dakika,Kolay,11. sınıf,"['Uzaklık formülünün yanlış uygulanması', 'Kare alma hatası']",d = √[(x₂ - x₁)² + (y₂ - y₁)²]
36,36,10 elemandan 3 elemanlı alt küme oluşturmanın sayısını hesaplayınız.,"['A) 120', 'B) 90', 'C) 210', 'D) 252']",A) 120,"Kombinasyon formülü: C(n, r) = n! / (r!(n-r)!). Burada n = 10, r = 3 olduğundan: C(10,3) = 10! / (3!·7!) = (10×9×8)/(3×2×1) = 120.","['Kümeler', 'Kombinasyon', 'Permütasyon']",10.1.1.3. n elemanlı bir kümenin r elemanlı alt kümelerinin sayısını (kombinasyon) hesaplar.,Problem Çözme,Problem Çözme Sorusu,Sayma ve Olasılık,1 dakika,Kolay,10. sınıf,"['Faktöriyel hesaplamasında hata', 'Formülün yanlış uygulanması']","C(n, r) = n! / (r!(n-r)!)"
37,37,lim (x→0) (e^x - 1)/x ifadesinin limiti nedir?,"['A) 0', 'B) 1', 'C) e', 'D) Tanımsız']",B) 1,"lim (x→0) (e^x - 1)/x ifadesinde e^x ≈ 1 + x (küçük x için) olduğundan, limit 1 olarak bulunur.","['Limit', 'Belirsizlik', ""L'Hôpital Kuralı""]",12.5.1.4. Belirsizlik durumlarını inceleyerek bu durumdaki fonksiyonların limitini hesaplar.,Problem Çözme,Problem Çözme Sorusu,Limit ve Süreklilik,1 dakika,Kolay,12. sınıf,"['Limit hesabında Taylor serisi hatası', ""L'Hôpital kuralını kullanmamak""]",lim (x→0) (e^x - 1)/x = 1
38,38,log₁₀(1000) ifadesinin değeri nedir?,"['A) 1', 'B) 2', 'C) 3', 'D) 0']",C) 3,log₁₀(1000) = 3 çünkü 10³ = 1000.,"['Logaritma Fonksiyonları', '10 Tabanında Logaritma']",12.1.2.2. 10 ve e tabanında logaritma fonksiyonunu tanımlayarak problemler çözer.,Bilgi Soruları,Bilgi Soruları,Logaritma Fonksiyonları,1 dakika,Kolay,12. sınıf,['Logaritma tabanının yanlış kullanılması'],log₁₀(1000) = 3
39,39,"Nokta A(3,4) 5 birim sağa ötelendiğinde yeni koordinatları nedir?","['A) (8,4)', 'B) (3,9)', 'C) (8,9)', 'D) (3,-1)']","A) (8,4)","Öteleme işleminde x koordinatına 5 eklenir, y koordinatı değişmez. Dolayısıyla A(3,4) → (3+5, 4) = (8,4).","['Dönüşümler', 'Öteleme']","12.4.1.1. Analitik düzlemde koordinatları verilen bir noktanın öteleme, dönme ve simetri dönüşümleri altındaki görüntüsünün koordinatlarını bulur.",Problem Çözme,Problem Çözme Sorusu,Dönüşümler,1 dakika,Kolay,12. sınıf,['Öteleme işleminin yanlış uygulanması'],"(x, y) → (x + a, y)"
40,40,"Bir açının yönlü ölçüsü 450° ise, bu açının 0° ile 360° aralığındaki en küçük pozitif eşdeğer açı ölçüsü kaç derecedir?","['A) 30°', 'B) 60°', 'C) 90°', 'D) 120°']",C) 90°,"450°'nin 360° ile bölümünden kalan 90°'dir. Yani, 450° mod 360 = 90°. Dolayısıyla, 0°-360° aralığındaki eşdeğer açı 90°'dir.","['Trigonometri', 'Yönlü Açılar', 'Açı Ölçü Birimleri']",11.1.1.1. Yönlü açıyı açıklar.,Bilgi Soruları,Bilgi Soruları,Trigonometri,1 dakika,Kolay,11. sınıf,"['Açının mod 360 işleminin unutulması', 'Yanlış eşdeğer açı bulunması']",A_mod = A mod 360
41,41,Bir geometrik dizide ilk terim 2 ve ortak oran 3'tür. Dizinin 6. terimini bulunuz.,"['A) 162', 'B) 486', 'C) 1458', 'D) 6561']",B) 486,"Geometrik dizinin genel terim formülü: a_n = a_1 · r^(n-1). Burada a_1 = 2, r = 3, n = 6 olduğundan: a_6 = 2 · 3^(6-1) = 2 · 3^5 = 2 · 243 = 486.","['Diziler', 'Geometrik Dizi', 'Genel Terim Hesabı']",12.2.1.3. Aritmetik ve geometrik dizilerin özelliklerini kullanarak işlemler yapar.,Problem Çözme Soruları,Problem Çözme Sorusu,Diziler,1 dakika,Kolay,12. sınıf,"['Ortak oranın üssel ifadede yanlış uygulanması', 'n-1 faktörünün unutulması']",a_n = a_1 · r^(n-1)
