Soru,Şıklar,Doğru Şık,Çözüm
x^2 - 9 ifadesinin çarpanlara ayrılmış hali aşağıdakilerden hangisidir?,"['A) (x-3)^2', 'B) (x+3)^2', 'C) (x-3)(x+3)', 'D) (x-9)(x+1)']",C) (x-3)(x+3),İki kare farkı: x^2 - 9 = (x-3)(x+3). Doğru cevap C).
x^3 + 2x^2 - x - 2 polinomu aşağıdakilerden hangisine tam bölünür?,"['A) x-1', 'B) x+1', 'C) x-2', 'D) x+2']",B) x+1,P(-1)=(-1)^3 + 2(-1)^2 - (-1) - 2 = -1 + 2 + 1 - 2 = 0 olduğundan doğru cevap B) x+1'dir.
x^2 - 4x + 4 ifadesinin çarpanlara ayrılmış hali aşağıdakilerden hangisidir?,"['A) (x-2)^2', 'B) (x+2)^2', 'C) (x-4)(x+1)', 'D) (x-1)(x-4)']",A) (x-2)^2,Tam kare ifade: x^2 - 4x + 4 = (x-2)^2. Doğru cevap A).
2^(6/2) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 2^3', 'B) 2^2', 'C) 2^4', 'D) 2^6']",A) 2^3,Köklü ifadeyi üslü ifade olarak yazarsak: 2^(6/2) = 2^3 = 8. Doğru cevap A) 2^3'tür.
8^(1/3) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 2', 'B) 4', 'C) 8', 'D) 16']",A) 2,Küp kök ifadesini üslü ifade olarak yazarsak: 8^(1/3) = (2^3)^(1/3) = 2. Doğru cevap A) 2'dir.
16^(3/4) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 4', 'B) 8', 'C) 16', 'D) 64']",B) 8,16^(3/4) = (16^(1/4))^3 = (2^2)^3 = 8. Doğru cevap B) 8'dir.
5^(1/2) × 2^(1/4) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 10', 'B) 20', 'C) 40', 'D) 80']",B) 20,5^(1/2) = √5 ve 2^(1/4) = 4√2 olduğundan çarpımları 20 olur. Doğru cevap B) 20'dir.
9^(1/2) × 27^(1/3) ifadesinin değeri aşağıdakilerden hangisidir?,"['A) 6', 'B) 9', 'C) 12', 'D) 18']",B) 9,9^(1/2) = √9 = 3 ve 27^(1/3) = ∛27 = 3 olduğundan çarpımları 9 olur. Doğru cevap B) 9'dur.
"Bir üretici, ürettiği ürünlerin satışından elde ettiği geliri G(x)=5x^3 - 2x^2 + 3x - 7 polinomu ile ifade etmektedir. Burada x, satılan ürün miktarını temsil etmektedir. Üretici, 100 birim ürün sattığında elde edeceği geliri hesaplayınız.","['A) 4,980,293', 'B) 5,120,000', 'C) 4,850,000', 'D) 5,010,293']","A) 4,980,293","G(100) = 5(100)^3 - 2(100)^2 + 3(100) - 7 = 4,980,293. Doğru cevap A) 4,980,293'tür."
"Bir otomobilin belirli bir süre boyunca kat ettiği mesafe, M(t)=2t^3 - 5t^2 + 4t polinomu ile ifade edilmektedir. Burada t, saati temsil etmektedir. Otomobilin 3 saat sonunda kat ettiği mesafeyi bulunuz.","['A) 18', 'B) 25', 'C) 21', 'D) 27']",C) 21,M(3) = 2(3)^3 - 5(3)^2 + 4(3) = 21. Doğru cevap C) 21'dir.
"Bir şirketin yıllık karı, K(y)=y^3 - 4y^2 + 6y - 8 polinomu ile modellenmektedir. Burada y, şirketin faaliyet gösterdiği yıl sayısını temsil etmektedir. Şirketin 5. yılındaki karını hesaplayınız.","['A) 53', 'B) 47', 'C) 61', 'D) 45']",B) 47,K(5) = 5^3 - 4(5)^2 + 6(5) - 8 = 47. Doğru cevap B) 47'dir.
"Bir su deposundaki su miktarı, S(t)=-t^3 + 6t^2 - 9t + 4 polinomu ile ifade edilmektedir. Burada t, saati temsil etmektedir. Depodaki su miktarının maksimum olduğu zamanı bulunuz.","['A) 3. saat', 'B) 4. saat', 'C) 2. saat', 'D) 1. saat']",A) 3. saat,S(t)=-t^3 + 6t^2 - 9t + 4 fonksiyonunun maksimum noktası türev ile bulunur. dS/dt = -3t^2 + 12t - 9 = 0 denkleminin çözümü t=3'tür. Doğru cevap A) 3. saattir.
"Bir fabrikanın üretim maliyeti, C(x)=4x^3 - 9x^2 + 6x + 15 polinomu ile ifade edilmektedir. Burada x, üretilen ürün sayısını temsil etmektedir. Fabrikanın 50 birim ürün ürettiğinde maliyetini hesaplayınız.","['A) 24,600,000', 'B) 24,615,015', 'C) 23,900,200', 'D) 25,100,300']","B) 24,615,015","C(50) = 4(50)^3 - 9(50)^2 + 6(50) + 15 = 24,615,015. Doğru cevap B) 24,615,015'tir."
Bir fonksiyon aşağıdaki gibi tanımlanmıştır: f(x)=x^(x^2). Bu fonksiyonun türevini f'(x) bulunuz.,"['A) x^(x^2)⋅(1+2xlnx)', 'B) x^(x^2)⋅(x+2xlnx)', 'C) x^(x^2+1)⋅(1+2x)', 'D) x^(x^2-1)⋅(1+2xlnx)']",B) x^(x^2)⋅(x+2xlnx),Doğal logaritma alarak başlıyoruz: lny = x^2lnx. Her iki tarafın türevini alıp düzenlediğimizde f'(x) = x^(x^2)⋅(x+2xlnx) olur. Doğru cevap B) x^(x^2)⋅(x+2xlnx).
Bir fonksiyon aşağıdaki gibi tanımlanmıştır: f(x)=e^(x^e^x). Bu fonksiyonun türevini f'(x) bulunuz.,"['A) e^(x^e^x)⋅e^x⋅x^e^x⋅(lnx+1/x)', 'B) e^(x^e^x+1)⋅x^e^x⋅(lnx+x)', 'C) e^(x^e^x-x)⋅x^e^x⋅(lnx+1/x)', 'D) e^(x^e^x)⋅x^e^x⋅(lnx-1/x)']",A) e^(x^e^x)⋅e^x⋅x^e^x⋅(lnx+1/x),Fonksiyon bileşke fonksiyonlardan oluştuğu için zincir kuralını uyguluyoruz. Sonuç: f'(x) = e^(x^e^x)⋅e^x⋅x^e^x⋅(lnx+1/x). Doğru cevap A).
Bir fonksiyon aşağıdaki gibi tanımlanmıştır: f(x)=x^(sinx). Bu fonksiyonun türevini f'(x) bulunuz.,"['A) x^(sinx)⋅(cosxlnx+sinx⋅1/x)', 'B) x^(sinx)⋅(cosx+sinxlnx)', 'C) x^(sinx)⋅(cosx−sinxlnx)', 'D) x^(sinx+1)⋅(cosx+sinx)']",A) x^(sinx)⋅(cosxlnx+sinx⋅1/x),Doğal logaritma alarak başlıyoruz: lny = sinxlnx. Her iki tarafın türevini alıp düzenlediğimizde f'(x) = x^(sinx)⋅(cosxlnx+sinx⋅1/x) olur. Doğru cevap A).
log_4(15 + log_5(3x - 1)) = 2 eşitliğini sağlayan x değeri nedir?,"['A) 1', 'B) 2', 'C) 3', 'D) 4']",B) 2,Logaritma fonksiyonunun tanımı kullanılarak 4^2 = 15 + log_5(3x - 1) çözülür ve x = 2 bulunur. Doğru cevap B).
log_3(2x - 5) ≤ 1 eşitsizliğinin çözüm kümesini bulunuz.,"['A) (2,5]', 'B) (3,4]', 'C) (5/2,4]', 'D) (2,3]']","C) (5/2,4]","Eşitsizlik logaritmanın tanım koşulları kullanılarak çözülür ve (5/2,4] aralığı bulunur. Doğru cevap C)."
log_2(x^2 - 4) = 3 denklemini sağlayan x değerlerini bulunuz.,"['A) ±3', 'B) ±2√3', 'C) ±4', 'D) ±5']",B) ±2√3,Logaritma denklemi çözülerek x^2 - 4 = 8 ve x^2 = 12 bulunur. Sonuç x = ±2√3 olur. Doğru cevap B).
Türev kullanarak f(x) = log_3(x^2 - 4x + 7) fonksiyonunun minimum noktasını bulun.,"['A) x=2', 'B) x=1', 'C) x=3', 'D) x=4']",A) x=2,Fonksiyonun türevi alınarak kritik noktalar bulunur ve ikinci türev testi uygulanarak minimum nokta x=2 olarak belirlenir. Doğru cevap A).
